"Orgname1","address"
"THE OFFICERS SPOUSES CLUB","PO BOX 12735, YUMA, AZ  85365"
"UNITED CRICKET LEAGUE","15 BOWMAN STREET, LEXINGTON, MA  2421"
"GLUCKSTADT MAVERICKS BASKETBALL TEA","148 SAMUELS DRIVE, MADISON, MS  39110"
"CADILLAC WOMANS CLUB","6436 DEVON LANE, CADILLAC, MI  49601"
"GOOD-TO-GO FOUNDATION","1980 HIDDEN RIDGE, HIGLAND PARK, IL  60035"
"CROW-LUNA FOUNDATION","2000 CUB TRAIL, ORANGE, TX  77632"
"JAMAICA INDEPENDENCE FOUNDATION INC","C/O WEINBERG 90 STATE ST SUITE 815, ALBANY, NY  12207"
"RIGHT BEGINNINGS INC","3227 DUBOIS PLACE SE, WASHINGTON, DC  20019"
"FINANCIAL EDUCATION FOUNDATION OF I","800 W MAIN ST SUITE 1460 A 88, BOISE, ID  83702"
"DIVAS OF SARASOTA INC","2127 WORRINGTON ST, SARASOTA, FL  34231"
"SECRET HAVEN OF LOVE","915 KINGSBROOK LN, FLORISSANT, MO  63031"
"THE LEAST OF THESE MINISTRY","602 MARSHALL AVE SW, ROANOKE, VA  24016"
"THE DANCING DIVAS","416 CANTERBURY RISE, FRANKLIN, TN  37067"
"FOCUS ON THE END TIMES MINISTRY","PO BOX 80681, SIMPSONVILLE, SC  29681"
"DOUGLASS COMMUNITY CENTER ADVISORY","405 E MARKET ST, LEESBURG, VA  20176"
"NOW THAT WERE MEN INCORPORATED","42 KINGSPOINTE DRIVE, ST PETERS, MO  63376"
"MECOS JOI","3203 SPRING MESA CT, SNELLVILLE, GA  30039"
"IAMWONDAWOMAN","96 LINWOOD PLAZA UNIT 363, FORT LEE, NJ  7024"
"EPSILON PSI CHAPTER","5429 SABIN COURT, MURFREESBORO, TN  37128"
"REACH UP FAMILY DEVELOPMENT CENTER","536 PENNSYLVANIA AVE 1ST FLR, BROOKLYN, NY  11207"
"SEMINOLE THUNDER ORGANIZATION","3415 W LAKE MARY BLVD BOX 954058, LAKE MARY, FL  32795"
"EAST JESSAMINE HIGH SCHOOL CHEERLEA","815 SULPHUR WELL ROAD, NICHOLASVILLE, KY  40356"
"LEARNATLIGHTSPEED ORG","600 WEST BROADWAY  175-537, SAN DIEGO, CA  92101"
"REIDENBAUGH ELEMENTARY SCHOOL PTO","1001 BUCKWALTER RD, LITITZ, PA  17543"
"THE MASTERS OCTAVE","80 WEST FRONT STREET, KEYPORT, NJ  7735"
"LEARN BEYOND BORDERS INC","227 VINCENT DRIVE, EAST MEADOW, NY  11554"
"COMMUNITY PARTNERS AT SEVEN BRIDGES","3540 SEVEN BRIDGES DR SUITE 100, WOODRIDGE, IL  60517"
"ENNIE MINI INC","95 N OAKS PLAZA, SAINT LOUIS, MO  63121"
"VEDIC SPIRITUAL CENTER","213 ROCKVIEW, IRVINE, CA  92612"
"NATIONAL ASSOCIATION FOR THE ADVANC","6221 LAUREL LANE, EASTMAN, GA  31023"
"MOVING FORWARD WITH PURPOSE","547 KELSIE CT, DESOTO, TX  75115"
"RHODE ISLAND KITTEN KITS INC","130 WINDSOR PARK DRIVE, COVENTRY, RI  2816"
"BLUE PETAL FOUNDATION","1028 W 1420 N, OREM, UT  84057"
"EXPANDING HEALTH AND WELLNESS INC","123 SARATOGA ROAD, GLENVILLE, NY  12302"
"ETHIOPIAN AND ERITREAN CULTURAL AND","3879 SE HERON GLEN WAY, MILWAUKIE, OR  97267"
"NORTH SOUND CONFERENCE","501 SOUTH MAIN STREET, COUPEVILLE, WA  98239"
"RENOVATING LIVES","1528 TOMMYS RD, GOLDSBORO, NC  27534"
"THE BIG FOUR FOUNDATION","126 EAST POPLAR STREET, SIDNEY, OH  45365"
"WYCKOFF FOOTBALL BOOSTERS ASSOCIATI","195 WOODLAND AVENUE, WYCKOFF, NJ  7481"
"INTERNATIONAL HEALTH ORGANIZATION","4 CHESTNUT LANE, HOLBROOK, MA  2343"
"NEW DAWN THEATRE COMPANY","2500 CROSBY FARM ROAD UNIT 11, SAINT PAUL, MN  55116"
"ANWAR CHARITY FOUNDATION INC","8445 NW 62 PLACE, PARKLAND, FL  33067"
"THE LEGAL SERVICES CLINIC OF THE PU","517 W COLONIAL DRIVE, ORLANDO, FL  32804"
"HISTORIC RIVER DISTRICT INC","PO BOX 158, OZARK, MO  65721"
"ELEMENTAL AFFAIRS","23318 MILLVILLE WAY, MILLVILLE, CA  96062"
"LINCOLN TROJANS LACROSSE BOOSTERS I","400 CAPITAL CIRCLE SE STE 18 BOX118, TALLAHASSEE, FL  32301"
"BEAUMONT PETS ALIVE","2396 DOWLEN ROAD, BEAUMONT, TX  77706"
"PORCARO FAMILY CHARITIES UA","1505 COUNTRY CLUB DR, RACINE, WI  53406"
"BUCKLAND SHELBURNE YOUTH BASEBALL I","PO BOX 102, SHELBURN FALLS, MA  1370"
"FAT ULU","2499 KAPIOLANI BOULEVARD 2309, HONOLULU, HI  96826"
"NEW YORK NANOOM BAND INC","82A MANOR RD, HUNTINGTON, NY  11743"
"T W ANDREWS PTA","1920 MCGUINN DRIVE, HIGH POINT, NC  27265"
"CONCHO ANIMAL ADVOCATES","HC 30 BOX 241, CONCHO, AZ  85924"
"ALL THINGS WOMEN INC","20304 ANGLING STREET, LIVONIA, MI  48152"
"ACTION REFERRAL GROUP","PO BOX 894124, TEMECULA, CA  92589"
"BUDDY POWER PROMOTIONS","4446 POPLAR ST, MARSHALL, TX  75672"
"SCARLET HAVEN FOUNDATION","1350 OLD BRIDGE ROAD, WOODBRIDGE, VA  22192"
"HOUSTON COUNTY K-9 FOUNDATION INC","566 BLUFF DR, LA CRESCENT, MN  55947"
"EPIC COMMUNITY DEVELOPMENT CENTER","8544 S EXCHANGE AVENUE, CHICAGO, IL  60617"
"PAWS FOR US HEROES","1190 WHIGAM ROAD, RIVERWOODS, IL  60015"
"VIRTU LEGAL SERVICES","6722 46TH AVE S, SEATTLE, WA  98118"
"YOUR LIFE MATTERS","370 DONNAN AVE, WASHINGTON, PA  15301"
"NORTH GEORGIA ELDER ABUSE TASK FORC","300 GALLERIA PARKWAY SUITE 1000, ATLANTA, GA  30339"
"PROGRAMMERS FOR PROGRESS","1001 WEST IMPERIAL HIGHWAY 3474, LA HABRA, CA  90632"
"OUTLAWS TRACK CLUB INC","824 GREEN HEATH AVE, FORT WORTH, TX  76120"
"THE HELP BUS","400 KING STREET SUITE 4, CHAPPAQUA, NY  10514"
"THE TARRADATH FOUNDATION INC","650 LENOX AVENUE APT 5K, NEW YORK, NY  10037"
"INTERNATIONAL OROMO HEALTH PROFESSI","21157 ISOTOPE TRAIL, LAKEVILLE, MN  55044"
"THE ALAN MADDEN FOUNDATION","3978 SE 99TH LANE, BELLEVIEW, FL  34420"
"WARREN COUNTY TECH CENTER ADVANCED ","365 TECHNOLOGY WAY, BOWLING GREEN, KY  42101"
"SPERO INTERNATIONAL MEDICAL CORP","6818 CREST PLACE, SAN ANTONIO, TX  78233"
"SINGLE MOMMYS CARE INC","PO BOX 3, MABLETON, GA  30126"
"BHARAT  SHARDA DUNGARANI FOUNDATION","11428 MAPLE VALLEY DRIVE, PLYMOUTH, MI  48170"
"ONE STEP OF LOVE INC","8472 SLATER AVENUE SUITE A, WESTMINSTER, CA  92647"
"DESIGNED FOR PURPOSE INC","1891 W 13TH STREET, RIVIERA BEACH, FL  33404"
"THE ANAIS NIN FOUNDATION","3108 GLENDALE BLVD NO 513, LOS ANGELES, CA  90039"
"BRANCH FOR FAMILIES INC","200 N 3RD STREET, NEBRASKA CITY, NE  68410"
"ADELPHOS RESCUE MISSION INC","1316 BERRI PATCH PL STE 5, MELBOURNE, FL  32935"
"BOYD YOUTH ASSOCIATION","PO BOX 1138, BOYD, TX  76023"
"NEXTGEN TECHED","6316 GERANIUM CT, WESTMINSTER, CA  92683"
"NU-HOPE MINISTRIES","4364 TAYLORSVILLE ROAD, RED ROCK, TX  78662"
"NEW CIVIC FORUM","422 MILPAS ST ROOM 7, SANTA BARBARA, CA  93103"
"JM WRIGHT TECH PFO INC","120 BRIDGE STREET, STAMFORD, CT  6905"
"TRUSTING THE PROCESS FL","6157 31ST AVE N, SAINT PETERSBURG, FL  33710"
"BOOST GIRLS IN CARE","PO BOX 173, ATLASBURG, PA  15004"
"A BUNDLE OF BLESSINGS","P O BOX 30211, STOCKTON, CA  95213"
"CIDRA NURSING HOME ROYAL CORP","BOX 884, CAYEY, PR  737"
"FOSTERING KIDS FOR LIFE INC","192 E ALEXANDER AVENUE, SAN BERNARDINO, CA  92404"
"CARDINAL YOUTH FOUNDATION","4045 ASHLAND ROAD, ELDON, IA  52554"
"RED GLOBAL DE MEXICANO CALIFICADOS ","95 WORK ST APT 4J, NEW YORK, NY  10013"
"POLYSTRONG HOLDINGS INC","12465 S FORT STREET SUITE 240, DRAPER, UT  84020"
"SKATEBUILDER","205 SOUTH WASHINGTON STREET, KENNEWICK, WA  99336"
"SOUTH SUDANESE SEEDS OF THE NATION ","175 WILLOW RIDGE WAY, AVONDALE ESTATES, GA  30002"
"PS 889 PARENT ASSOCIATION INC","21 HINCKLEY PLACE, BROOKLYN, NY  11218"
"RUBOUTCANCER INC","25 WILSON STREET, EAST NORTHPORT, NY  11731"
"HEALTH EDUCATION AND RESOURCES OUTR","74 TYNGSBORO RD, WESTFORD, MA  1886"
"MODEL ALLIANCE INC","302A WEST 12TH STREET SUITE 136, NEW YORK, NY  10014"
"TOMAR JACKSON GLOBAL INC","7600 GILBERT ST, PHILADELPHIA, PA  19150"
"COMMUNITY CONNECTIONS OF LONG ISLAN","170 NEW YORK AVENUE, WESTBURY, NY  11590"
"SAVE A KID 2 SAVE A LIFE FOUNDATION","121 AFTON WAY, CLINTON, MS  39056"
"SOUTHEAST POLK CLASS OF 2003 OUTREA","1506 GARFIELD STREET SW, BONDURANT, IA  50035"
"THIRTY ELEPHANTS INC","1873 NE 37 PLACE, HOMESTEAD, FL  33033"
"COMBAT COOKIES INC","PO BOX 6403, LAFAYETTE, IN  47903"
"THE UNCOMMON HERO PROJECT","13570 GROVE DRIVE SUITE 369, MAPLE GROVE, MN  55311"
"UNITED STATES BOWLING CONGRESS INC","437 LIGE ROAD, CROSSVILLE, TN  38555"
"SEVEN EYES STONE MINISTRIES INC","9402 OAK MEADOW COURT, TAMPA, FL  33647"
"WESTWOODS PTO","1500 FISHER RD, TRAVERSE CITY, MI  49685"
"LEO E GRIFFITH MEMORIAL TRUST","45 ELMAR CIRCLE, ROYERSFORD, PA  19468"
"HELPING OTHERS TRIUMPH INC","6311 MONTEREY ROAD APT 114, LOS ANGELES, CA  90042"
"MIDWEST CENTER FOR INCLUSIVE EDUCAT","1321 PARKDALE ROAD, MARYVILLE, MO  64468"
"VYN FOUNDATION INC","76 RIVERSIDE LN, RIVERSIDE, CT  6878"
"STOP END INC","2798 PEEK RD UNIT 617, ATLANTA, GA  30318"
"MEMPHIS AREA RACQUETBALL ASSOCIATIO","5100 POPLAR AVE STE 1400, MEMPHIS, TN  38137"
"WOGA NEW YORK INC","932 WOODFIELD RD, LAKEVIEW, NY  11552"
"FAITH EVANGELISTIC MINISTRIES  MISS","P O BOX 630341, MIAMI, FL  33163"
"CARDINAL PRIDE IN ACTION","400 W 4TH PO BOX K, SEDGWICK, KS  67135"
"THE VAUGHT FOUNDATION","7057 BUCKTAIL ROAD, FAYETTEVILLE, NC  28311"
"HENRY COUNTY YOUTH FOOTBALL LEAGUE ","987 SUNNYSIDE ROAD, EMINENCE, KY  40019"
"WE ARE ELEVN","4656 SOUTH WOOD DUCK LANE, HOLLADAY, UT  84117"
"HEAL SPOKANE","5508 N WALNUT ST, SPOKANE, WA  99205"
"MEN OF SERVICE  INC","1417 E APACHE, TULSA, OK  74126"
"THE PHILBIN FAMILY FOUNDATION INC","6 EASTERN AVENUE, ANNAPOLIS, MD  21403"
"MOTHERS HERITAGE INTERNATIONAL","914 RIDGE TOP RD, HENRICO, VA  23229"
"WEST CARTER HIGH SCHOOL ALUMNI FOUN","181 ELLERSLIE PARK BLVD, LEXINGTON, KY  40515"
"CPHS PTSO","64 RIVERVIEW AVE, CLIFFSIDE PARK, NJ  7010"
"BABY STEPS FAMILY ASSISTANCE","PO BOX 1607, CLAREMONT, NH  3743"
"LBX SPORTS INC","8 WEST 118 ST 9G, NEW YORK, NY  10026"
"KEEPING EVERY POSSIBILITY TANGIBLE","6369 BAREFOOT BOY, COLUMBIA, MD  21045"
"EAU CLAIRE IMPROV INSTITUTE INC","4151 MEADOW LANE, EAU CLAIRE, WI  54701"
"RISE ABOVE ANIMAL RESCUE & SANCTUAR","8417 MIRAMAR RD, PASADENA, MD  21122"
"RUBIES CORPORATION","6100 N 42ND STREET LOWER, MILWAUKEE, WI  53209"
"CIS MUSIC BOOSTERS INC","4544 BROADALE RD, CLEVELAND, OH  44109"
"BYRON C GLENN III FOUNDATION","1723 LOCERBIE DRIVE, MURFREESBORO, TN  37128"
"ENTERPRISE SCOUTING PARENTS ASSOCIA","7065 GRANADA DR, REDDING, CA  96002"
"HARMONY VILLAGE ESTATE CORPORATION","819 ASHLAND, DETROIT, MI  48215"
"WILLIAM BRIAN MOODY FOUNDATION","4 PADDINGTON CIRCLE, CHARLESTON, SC  29407"
"TERESA THOMPSONS CUTS FOR THE CURE","17 POTTER STREET, TRENTON, OH  45067"
"MIBIHAR","4037 SHADROCK DR, TROY, MI  48085"
"SYMPONIA MINISTRIES","7170 SANTA BARBARA COURT, FONTANA, CA  92336"
"MUSTANG ARTS COUNCIL INC","313 NORTH JASPER WAY, MUSTANG, OK  73064"
"PERSISTENCE IS THE KEY","PO BOX 22443, HOUSTON, TX  77227"
"THE TURNING POINTE PERFORMING ARTS ","24235 HARPER, STERLING HEIGHTS, MI  48080"
"AUTENTICORILLO PR INC","PO BOX 1671, BARCELONETA, PR  617"
"GALLISTEL MUSIC DEPARTMENT BOOSTER ","10347 S EWING AVENUE, CHICAGO, IL  60617"
"JIM SPRADLEY ELEMENTARY PARENT TEAC","13974 CASTLEGATE DR, FRISCO, TX  75035"
"TEACH TO INSPIRE","5673 HILLER PL, ST. LOUIS, MO  63136"
"LITTLE GARDEN CLUB OF WOODFORD COUN","3981 SHANNON RUN RD, VERSAILLES, KY  40383"
"ALICES RE-STORE INC","PO BOX 1076, CAPITOLA, CA  95010"
"KENTUCKY FRATERNAL ORDER OF POLICE ","6204 PRICE LANE, LOUISVILLE, KY  40229"
"MARCH FOR SCIENCE SACRAMENTO","2216 O ST APT 7, SACRAMENTO, CA  95816"
"BRIDGEWATER RAYNHAM GIRLS YOUTH LAC","133 MOHAWK ROAD, RAYNHAM, MA  2767"
"YOUTH SPEAK CORP","309 GOLD STREET APT 9E, BROOKLYN, NY  11201"
"THE RESORT FOUNDATION INC","5506 TERRACE COURT NO 1, TEMPLE TERRACE, FL  33617"
"AARON ROSS SHAPIRO FOUNDATION","PO BOX 151, BOONE, NC  28607"
"CASTELL PRESERVATION INC","10805 MELLOW LANE, AUSTIN, TX  78759"
"POWER OF SALVATION INTERNATIONAL MI","1301 NC HWY 49 SOUTH, ASHEBORO, NC  27205"
"CENTTRAL 3 COMMUNITY FIRST PROJECT ","1310 EAST ADAMS STREET, SPRINGFIELD, IL  62703"
"SHEAR KNOW HOW OUTREACH MINISTRY IN","3590 NW 29TH STREET, FORT LAUDERDALE, FL  33311"
"THE ADVANCE INITIATIVE","525 WELSH ROAD, PHILADELPHIA, PA  19115"
"ACOMA EDUCATION FOUNDATION","49 PINSBARRI DRIVE, ACOMA, NM  87034"
"WEBSTER LITTLE LEAGUE BASEBALL","PO BOX 702, WEBSTER, MA  1570"
"HOLLOWAYS GIFT OF LIFE FOUNDATION","1602 PARK CROSSING WAY, LILBURN, GA  30047"
"ADMA BOOSTERS","36475 DETROIT ROAD, AVON, OH  44011"
"JOHN GRINKLEY MEMORIAL FOUNDATION","23425 SPICE BUSH TERRACE, ASHBURN, VA  20148"
"PRESTONS LEAGUE","3013 TAVISTOCK DRIVE, DURHAM, NC  27712"
"CHRISTLIFE MINISTRIES","PO BOX 150341, GRAND RAPIDS, MI  49515"
"LAMONT FIRE DEPARTMENT","644 BUSH STREET, LAMONT, IA  50650"
"CORVETTES OF BAKERSFIELD CHARITY","PO BOX 22065, BAKERSFIELD, CA  93390"
"WERQ YOUTH EMPOWERMENT PROGRAM","4935 W 120TH ST APT 10, HAWTHORNE, CA  90250"
"SUNSHINES TOY DRIVE INC","72 OAKFIELD AVENUE, DIX HILLS, NY  11746"
"MIDWEST MASTER BEEKEEPER PROGRAM","208 ALTON RD, PARMA, MO  63870"
"MIDNIGHT TM ENTERTAINMENT","1349 WEST 93RD STREET, LOS ANGELES, CA  90044"
"ROTARY CLUB SIN FRONTERAS FOUNDATIO","4505 ALLSTATE DRIVE STE 102, RIVERSIDE, CA  92501"
"UPPER ROGUE YOUTH BASKETBALL","468 SIENNA HILLS DRIVE, EAGLE POINT, OR  97524"
"GREGORY SCHOOL PTO INC","4820 CAROL COURT, ROCKFORD, IL  61108"
"ALTAR AND DWELLING PLACE INC","1509 ESSEXWOOD DRIVE, FUQUAY-VARINA, NC  27526"
"PATHFINDER BACK COUNTRY HORSEMEN OF","PO BOX 1327, CASPER, WY  82602"
"QUITMAN ATHLETIC BOOSTER CLUB","PO BOX 71, QUITMAN, TX  75783"
"EAST SAN JOSE WELLNESS CENTER INC","200 FIGUERES AVE, SAN JOSE, CA  95116"
"NATIONAL LEAD FOR AMERICA INC","400 SOUTH ROAD, CHAPEL HILL, NC  27514"
"MIRANDAS HEARTH INC","30 BOW STREET, CAMBRIDGE, MA  2138"
"THE TRINITY RESTORATION HOMES INC","1941 CALIFORNIA AVE UNIT 77181, CORONA, CA  92877"
"FIRE TECHNOLOGY FOUNDATION","3543 STEELHEAD RUN DR, ALBANY, OR  97321"
"NORTHERN HAITI HEALTH ALLIANCE","3030 N ROCKY POINT DR STE 150 A, TAMPA, FL  33607"
"NEBRASKA YOUTH LODGE INC","1060 GARDEN VALLEY ROAD, LINCOLN, NE  68521"
"ONE GLOBAL HOPE MINISTRIES","6613 BEVERLY BLVD  - UNIT B, EVERETT, WA  98203"
"CHARRAS UNIDAS","115 DEAN DR STE D, SANTA PAULA, CA  93060"
"LUMBERTON INTERMEDIATE PTO","107 S LHS DR, LUMBERTON, TX  77657"
"SWIN AND SPORT FOUNDATION OF NORTHW","7519 LAIRD STREET, PANAMA CITY BEACH, FL  32408"
"SISK MIDDLE SCHOOL BULLDOG CLUB","950 E 1ST STREET, DOUGLASS, KS  67039"
"UTAH LEGACY FOUNDATION","6934 SOUTH CRYSTAL DOWNS LANE 25E, WEST JORDAN, UT  84084"
"THE BROOKLYNN PROJECT","1627 E BRIDGEPORT AVE, SPOKANE, WA  99207"
"MOUNT ZION PENTECOSTAL CHURCH","301 YORK DALE DRIVE, RUSKIN, FL  33570"
"PIRATE YOUTH BASKETBALL CLUB","105 FALCON COURT, BOARDMAN, OR  97818"
"WARIOTO AUDUBON SOCIETY","290 ARDMOOR DRIVE, CLARKSVILLE, TN  37043"
"PROJECTUMBRELLA INC","1 RIVER PLACE APT 1611, NEW YORK, NY  10036"
"TAKE CHARGE OF YOURSELF","752 NORTH MAIN STREET P O BOX 1014, MANSFIELD, TX  76063"
"AMERICAN LEGION POST 16 CHARITABLE ","2031 RONALD REAGAN HWY, COVINGTON, LA  70433"
"STEM-E YOUTH CAREER DEVELOPMENT PRO","15817 HONOLULU ST, JERSEY VILLAGE, TX  77040"
"OCTONATION","1801 E 51ST STREET SUITE 365-377, AUSTIN, TX  78723"
"WUXIA INTEGRATIVE MEDICINE HEALTH","1550 MIRASOL DRIVE, SAN MARINO, CA  91108"
"FOCUS POINT VISION INCORPORATED","116 MAGNOLIA DRIVE, DANVILLE, VA  24541"
"HJM FOUNDATION","10606 CANDLEWICK RD, LUTHERVILLE, MD  21093"
"BEYOND THE VILLAGE INC","9912 BUSINESS PARK DRIVE STE 170, SACRAMENTO, CA  95827"
"PAINT22 INC","1121 DRUID RD E BLD1703, CLEARWATER, FL  33756"
"MONTICELLO ELEMENTARY PTO","6523 ALTER ROAD, HUBER HEIGHTS, OH  45424"
"GLORY EVENTS","27903 VISTA VIEW DRIVE, SANTA CLARITA, CA  91351"
"ROCKMART HOMELESS INITIATIVE INC","225 SOUTH MARBLE ST, ROCKMART, GA  30153"
"KOSEY STRONG","723 EASTBROOK HARLANSBURG RD, NEW CASTLE, PA  16101"
"ORLANDO DREAM BASKETBALL INC","521 KEY COURT, ORLANDO, FL  32828"
"MISS GREATER NASHUA SCHOLARSHIP PRO","51 BRINTON DR, NASHUA, NH  3064"
"BENMORE VALLEY PROJECT","105 EUCALYPTUS AVENUE, SANTA CRUZ, CA  95060"
"WALTON COUNTY COMMUNITY BADN","727 HUBBARD ST, DEFUNIAK SPRINGS, FL  32435"
"A FAMILY THING OUTREACH INC","106A MORRIS STREET, FORT VALLEY, GA  31030"
"MUJER EMPRENDE PUERTO RICO INC","DISTRICT VIEW PLAZA 644 AVE FERNAND, SAN JUAN, PR  907"
"MCGILL ELEMENTARY PTO","201 MILLSPAUGH ST, SAN ANGELO, TX  76901"
"THE UNION COUNTY DUGOUT CLUB INC","15190 SW 94TH CIRCLE, LAKE BUTLER, FL  32054"
"AEROSPACE EDUCATION FOUNDATION OF T","402 KINGSTON DR, GRAND PRAIRIE, TX  75051"
"INTERNATIONAL MIGRATION SPORT AND E","329 INGRAM CT, SAN JOSE, CA  95139"
"TEF TRAIN EVOLVE FLIGHT","22360 FLAMINGO STREET, GRAND TERRACE, CA  92313"
"SODEG VILLAGE EMPOWERMENT","21680 MIDDLEBURG PLAIN CITY RD, MILFORD CENTER, OH  43045"
"ROBD JXN","121 AFTON WAY, CLINTON, MS  39056"
"COLORADO SPRINGS RIPPERS BASEBALL","1139 RICHARDS AVENUE, COLORADO SPRINGS, CO  80905"
"KATE S LEGACY INC","1007 BRYAN WOODS LOOP, SAVANNAH, GA  31410"
"DO A LITTLE GOOD","6724 AARWOOD RD NW, RAPID CITY, MI  49676"
"RCC MARCHING BAND ALUMNI ASSOCIATIO","11634 BLACK HAWK LANE, MORENO VALLEY, CA  92557"
"SHOAL BAY ANIMAL HAVEN","392 NORTH HIGHWAY 197, NEW BLAINE, AR  72851"
"THE FRIENDS FOREVER FOUNDATION NFP","1438 S DUNFRIES STREET, FLOSSMOOR, IL  60422"
"CRUSHERS BASEBALL CORPORATION","3001 MINTON COURT, MEMPHIS, IN  47143"
"FO SHO JEWELS INC","7623 NW 47TH WAY, GAINESVILLE, FL  32653"
"HOUSE OF FELLOWSHIP","120 LILAC LN, DOTHAN, AL  36305"
"WARDSOURCES","3217 ALGONQUIN PARKWAY, TOLEDO, OH  43606"
"JUINTI KOSHI CORP","30725 US HIGHWAY 19 NORTH SUITE 320, PALM HARBOR, FL  34684"
"MATTHEW ISAKOWITZ FELLOWSHIP PROGRA","2008 JOHN ST, MANHATTAN BEACH, CA  90266"
"VICTUS HEALTH FOUNDATION","165 NUTT ROAD SUITE D, PHOENIXVILLE, PA  19460"
"SIOUX EMPIRE PINK LADIES INC","3201 W AUBURN HILLS CIR, SIOUX FALLS, SD  57108"
"WEST CARROLL THUNDER ALL SPORTS BOO","1794 SCENIC BLUFF ROAD, THOMSON, IL  61285"
"EAA CHAPTER 1609","4343 S 165 RD, BOLIVAR, MO  65613"
"HERONS KEY ARTS ASSOCIATION","4340 BORGEN BLVD APT 1438, GIG HARBOR, WA  98332"
"ARDSLEY HISTORICAL SOCIETY","PO BOX 523, ARDSLEY, NY  10502"
"JACOBS HOME","1629 W 84TH PLACE, LOS ANGELES, CA  90047"
"SAY YES INC","PO BOX 333, GRANDVIEW, TX  76050"
"FLOWERS FOR THE LIVING NFP","22713 JAMIE COURT, RICHTON PARK, IL  60471"
"SHINE ST CHARLES","4 MISTY HOLLOW CT, ST CHARLES, MO  63303"
"GET UP COMMUNITY DEVELOPMENT CORPOR","3214 PINEY GROVE RD, CHARLOTTE, NC  28212"
"MUSIC TEACHERS NATIONAL ASSOCIATION","702 KENTUCKY ST UNIT 589, BELLINGHAM, WA  98225"
"WARDE FOOTBALL GRIDIRON","450 HOLLYDALE ROAD, FAIRFIELD, CT  6824"
"GOSPEL TRANSLATIONS","12153 RICHLAND LANE, HERNDON, VA  20171"
"NATIONAL COUNSEL ON PATENT PRACTICU","931 MONROE DR NE STE A102-466, ATLANTA, GA  30308"
"BIG BOGEY GOLF","565 COUNTY RD 440, JACKSON, MO  63755"
"WESTMORELAND NEIGHBORHOOD ORGANIZAT","913 VICAR ROAD, DANVILLE, VA  24540"
"ACADEMY ONE INC","320 LAKESHORE DRIVE SUITE A, MONTEZUMA, GA  31063"
"TECHNICAL INFORMATION PROJECT","1523 MALCOLM AVE, LOS ANGELES, CA  90024"
"NUTRITION FOREVER","3601 SHERATON APT 2, PHARR, TX  78577"
"SOL HUMANITARIAN INC","163 W 200 S APT 208, SALT LAKE CITY, UT  84101"
"BRAD JENKINS MEMORIAL SCHOLARSHIP F","9422 ULYSSES STREET NE, BLAINE, MN  55434"
"STUDIO 32 COMPETITION ASSOCIATION","5387 WEST WESTERN RESERVE ROAD, CANFIELD, OH  44406"
"FIR STATE JUNIOR GOLF FOUNDATION","4101 BEACON AVE SOUTH, SEATTLE, WA  98108"
"PROYECTO HAPPINESS GUATEMALA","6525 COLLINGSWORTH ST, LAS VEGAS, NV  89131"
"AMERICAN LEGION POST 861","PO BOX 725, MATTITUCK, NY  11952"
"MAGIS CONSORTIUM INTL GROUP","6 MISTY LAKE CT, EGG HARBOR TOWNSHIP, NJ  8234"
"J C MCKIBBONS OUTREACH INC","327 HOWELL DRIVE SW, ATLANTA, GA  30331"
"JAX BIG BOOK COMES ALIVE INC","P O BOX 24267, JACKSONVILLE, FL  32241"
"NATIONWIDE SPORTS YOUTH OUTREACH AN","795 NW 185 DR, MIAMI GARDENS, FL  33169"
"THE SCOTT LAUTHER FOUNDATION","2 NORTH NEVADA AVENUE STE 1100, COLORADO SPRINGS, CO  80903"
"PUSH MINISTRIES INC","1701 FRANCIS ST APT D, ST JOSEPH, MO  64501"
"JAMES CLEVELAND GOSPEL MUSIC EXPERI","10368 CRAFTSMAN WAY APT 309, SAN DIEGO, CA  92127"
"LIBERTY BOOSTER ASSOCIATION","605 ALEXANDER ROAD, LIBERTY, PA  16930"
"WIDELOAD","PO BOX 1012, YOUNGSVILLE, LA  70592"
"ACT OF RANDOM KINDNESS ARK","7420 KINGSBURY ST, DEARBORN HEIGHTS, MI  48127"
"COMPASSIONATE AWARENESS AUTISM CENT","4224 STONEBRIDGE DR SW APT 12, WYOMING, MI  49519"
"WORLDWIDE MARRIAGE ENCOUNTER  REGIO","14206 W MANDALAY LN, SURPRISE, AZ  85379"
"MADISON HOUSE INC","3225 S MACDILL AVENUE SUITE 129-139, TAMPA, FL  33629"
"JUST WHO I AM","4863 SOUTHRIDGE AVE, LOS ANGELES, CA  90043"
"SOY SAVING OUR YOUTH SOLDIERS","104 MAIN STREET, FULTONDALE, AL  35068"
"REPS 4 RYAN INC","292 PARKWOOD ROAD, FAIRFIELD, CT  6824"
"TARRANT COUNTY INFANT HEALTH NETWOR","1101 SOUTH MAIN STREET, FORT WORTH, TX  76104"
"IAAMC 2018 SOCIETY","3435 GILES PLACE   APT 5G, BRONX, NY  10463"
"VERMONT CLAY GUILD","3 BERRY STREET, BURLINGTON, VT  5401"
"INNOVATIVE ACADEMY","105 NORTH EDWARDS STREET, PLANT CITY, FL  33563"
"PAWSITIVITY RESCUE","1644 S BENTLEY AVE STE 201, LOS ANGELES, CA  90025"
"SISTAS WHO SLAY INC","3032 WADDINGTION DRIVE, N CHESTERFIELD, VA  23224"
